CABra dataset - Climate attributes
 
clim_p, clim_tmin, clim_tmax, clim_rh, clim_wind, and clim_srad are the long-term mean precipiation, minimum and maximum temperature, relative humidity, wind speed, and solar radiation in the catchment.
clim_et and clim_pet are the long-term mean actual and potential evapotranspiration in the catchment. clim_pet was calculated with Priestley & Taylor method.
aridity_index and p_seasonality are the aridity index and seasonality of precipitation in the catchment.
clim_quality is the quality of climate data based on data source: 1 = REF climatology; 2 = ENS climatology.
 
  CABra ID	     ANA ID	  clim_p	 clim_tmin	 clim_tmax	  clim_rh	 clim_wind	  clim_srad	  clim_et	 clim_pet	 aridity_index	   p_seasonality	 clim_quality
          	           	      mm	        °C	        °C	        %	     m s¯¹	     MJ m¯²	 mm day¯¹	 mm day¯¹	              	                	             
       403	   60778000	    4.19	     17.56	     30.22	    69.16	      1.09	      17.65	     2.59	     5.35	          1.28	            0.91	            1
       404	   60781000	    4.10	     17.79	     30.49	    68.48	      1.02	      17.70	     2.57	     5.37	          1.31	            0.88	            1
       405	   60785005	    4.26	     17.32	     30.40	    69.25	      1.00	      17.65	     2.61	     5.35	          1.26	            0.91	            1
       406	   60790000	    4.09	     17.74	     30.44	    68.56	      1.02	      17.70	     2.58	     5.37	          1.31	            0.88	            1
       407	   60798000	    4.08	     17.73	     30.37	    68.65	      1.05	      17.73	     2.61	     5.36	          1.31	            0.89	            1
       408	   60810000	    4.02	     18.14	     30.56	    68.91	      1.16	      18.33	     2.62	     5.54	          1.38	            0.89	            1
       409	   60845000	    4.06	     17.99	     30.01	    69.57	      1.30	      18.54	     2.64	     5.58	          1.38	            0.94	            1
       410	   60850000	    4.15	     18.17	     30.16	    69.42	      1.33	      18.58	     2.66	     5.60	          1.35	            0.94	            1
       411	   60855000	    4.04	     18.31	     30.44	    69.38	      1.29	      18.58	     2.67	     5.61	          1.39	            0.93	            1
       412	   60870000	    4.13	     17.78	     30.34	    69.03	      1.12	      17.92	     2.78	     5.40	          1.31	            0.92	            1
       413	   60895000	    4.33	     17.08	     30.50	    69.13	      0.98	      17.68	     2.67	     5.35	          1.23	            0.92	            1
       414	   60910000	    4.28	     17.94	     31.00	    70.45	      0.81	      17.63	     2.82	     5.39	          1.26	            0.92	            1
       415	   60925001	    3.79	     18.53	     30.67	    68.86	      1.24	      18.54	     2.70	     5.59	          1.47	            0.92	            1
       416	   60930000	    4.45	     17.78	     30.70	    70.15	      0.87	      17.80	     2.73	     5.41	          1.21	            0.93	            1
       417	   60940000	    4.43	     17.79	     30.73	    70.18	      0.87	      17.77	     2.73	     5.40	          1.22	            0.93	            1
       418	   60950000	    4.38	     17.75	     30.62	    69.54	      0.99	      17.93	     2.74	     5.42	          1.24	            0.94	            1
       419	   60970000	    4.44	     17.87	     30.51	    69.16	      1.07	      18.07	     2.69	     5.46	          1.23	            0.95	            1
       420	   61009000	    5.20	     15.80	     27.31	    77.49	      1.19	      16.32	     2.89	     4.92	          0.95	            0.96	            1
       421	   61012000	    4.68	     15.50	     26.64	    77.81	      1.30	      16.15	     2.71	     4.84	          1.03	            0.98	            1
       422	   61014000	    5.00	     15.91	     27.25	    77.72	      1.13	      16.14	     3.10	     5.06	          1.01	            0.95	            1
       423	   61024000	    5.15	     14.95	     27.16	    77.64	      1.10	      16.29	     2.88	     4.88	          0.95	            0.95	            1
       424	   61031000	    5.18	     15.38	     27.23	    77.57	      1.15	      16.31	     2.88	     4.90	          0.95	            0.95	            1
       425	   61045000	    4.51	     15.11	     26.93	    77.39	      1.22	      16.28	     2.62	     4.84	          1.07	            0.97	            1
       426	   61052000	    4.51	     15.11	     26.93	    77.39	      1.22	      16.28	     2.62	     4.84	          1.07	            0.98	            1
       427	   61060000	    4.83	     15.03	     27.05	    77.52	      1.16	      16.29	     2.75	     4.86	          1.01	            0.98	            1
       428	   61075000	    4.26	     14.67	     27.11	    77.17	      1.12	      16.42	     2.58	     4.88	          1.14	            0.99	            1
       429	   61078000	    4.17	     14.60	     27.10	    77.10	      1.11	      16.45	     2.58	     4.87	          1.17	            0.99	            1
       430	   61085000	    4.21	     14.79	     25.66	    78.53	      1.31	      16.07	     2.78	     4.76	          1.13	            0.97	            1
       431	   61090000	    4.17	     14.62	     25.53	    78.49	      1.38	      16.09	     2.60	     4.74	          1.14	            0.97	            1
       432	   61100000	    4.30	     15.17	     25.86	    78.58	      1.34	      16.00	     2.75	     4.72	          1.10	            0.97	            1
       433	   61105000	    4.11	     14.78	     25.89	    77.93	      1.37	      16.22	     2.55	     4.78	          1.16	            0.97	            1
       434	   61107000	    4.15	     14.69	     25.71	    77.93	      1.34	      16.19	     2.62	     4.77	          1.15	            0.97	            1
       435	   61115000	    4.08	     14.94	     26.10	    76.75	      1.22	      16.43	     2.65	     4.85	          1.19	            0.97	            1
       436	   61122000	    4.11	     14.78	     25.89	    77.93	      1.37	      16.22	     2.55	     4.78	          1.16	            0.98	            1
       437	   61135000	    4.11	     14.70	     26.27	    76.85	      1.29	      16.40	     2.61	     4.84	          1.18	            0.98	            1
       438	   61173000	    3.78	     14.02	     26.98	    76.56	      0.96	      16.44	     2.53	     4.83	          1.28	            1.00	            1
       439	   61267000	    4.37	     12.74	     24.08	    78.04	      1.04	      15.92	     2.92	     4.59	          1.05	            0.88	            1
       440	   61271000	    4.54	     12.19	     23.18	    78.13	      1.04	      15.87	     3.11	     4.63	          1.02	            0.88	            1
       441	   61295000	    4.54	     11.45	     21.94	    78.62	      0.97	      15.75	     3.02	     4.46	          0.98	            0.90	            1
       442	   61460000	    4.37	     13.68	     26.62	    77.72	      1.05	      16.21	     2.83	     4.79	          1.10	            0.95	            1
       443	   61473000	    4.57	     13.85	     27.08	    77.54	      1.03	      16.32	     2.72	     4.84	          1.06	            0.99	            1
       444	   61500000	    4.33	     12.81	     26.62	    77.67	      1.03	      16.21	     2.81	     4.78	          1.10	            0.94	            1
       445	   61510000	    4.37	     13.75	     26.84	    77.62	      1.04	      16.27	     2.76	     4.81	          1.10	            0.96	            1
       446	   61520000	    4.14	     14.42	     27.14	    77.13	      1.01	      16.42	     2.54	     4.84	          1.17	            0.99	            1
       447	   61537000	    4.22	     13.82	     26.97	    77.45	      1.01	      16.30	     2.67	     4.80	          1.14	            0.97	            1
       448	   61610000	    4.32	     14.67	     26.92	    73.38	      0.97	      17.03	     2.80	     5.00	          1.16	            0.97	            1
       449	   61700000	    4.27	     15.70	     27.53	    72.05	      1.05	      17.62	     2.77	     5.19	          1.22	            0.99	            1
       450	   61770000	    4.40	     15.58	     27.56	    72.22	      1.07	      17.48	     2.80	     5.17	          1.17	            0.98	            1
       451	   61800500	    4.43	     12.78	     25.29	    77.18	      0.85	      15.89	     2.83	     4.61	          1.04	            0.94	            1
       452	   61815000	    4.32	     14.67	     26.92	    73.38	      0.97	      17.03	     2.80	     5.00	          1.16	            0.97	            1
       453	   61826000	    4.32	     15.28	     27.38	    72.89	      0.98	      17.23	     2.76	     5.06	          1.17	            0.97	            1
       454	   61830000	    4.31	     14.50	     26.85	    74.07	      1.00	      16.79	     2.77	     4.92	          1.14	            0.96	            1
       455	   61861000	    4.08	     12.54	     24.51	    78.18	      0.91	      15.71	     2.69	     4.53	          1.11	            0.90	            1
       456	   61865000	    4.08	     12.54	     24.51	    78.18	      0.91	      15.71	     2.69	     4.53	          1.11	            0.90	            1
       457	   61879000	    4.34	     13.74	     24.76	    76.66	      1.17	      15.65	     2.75	     4.55	          1.05	            0.85	            1
       458	   61886000	    4.28	     13.67	     25.27	    76.29	      1.08	      15.90	     2.73	     4.61	          1.08	            0.87	            1
       459	   61902000	    4.17	     14.46	     26.17	    74.81	      1.12	      16.34	     2.71	     4.76	          1.14	            0.89	            1
       460	   61912000	    4.16	     14.82	     26.49	    74.09	      1.16	      16.57	     2.70	     4.84	          1.16	            0.90	            1
       461	   61915000	    4.11	     15.29	     26.94	    73.27	      1.22	      16.84	     2.69	     4.93	          1.20	            0.91	            1
       462	   62395000	    4.13	     15.61	     25.83	    75.32	      1.33	      15.64	     2.68	     4.61	          1.11	            0.74	            1
       463	   62600000	    4.23	     14.43	     24.97	    76.14	      1.24	      15.59	     2.79	     4.54	          1.07	            0.83	            1
       464	   62615000	    4.23	     14.43	     24.97	    76.14	      1.24	      15.59	     2.79	     4.54	          1.07	            0.83	            1
       465	   62625000	    4.34	     13.74	     24.76	    76.66	      1.17	      15.65	     2.75	     4.55	          1.05	            0.80	            1
       466	   62665000	    4.48	     12.98	     23.78	    77.37	      1.16	      15.50	     2.99	     4.49	          1.00	            0.81	            1
       467	   62670000	    4.30	     14.02	     24.59	    76.79	      1.20	      15.49	     2.93	     4.53	          1.05	            0.79	            1
       468	   62760130	    4.07	     15.99	     27.07	    72.48	      1.40	      17.07	     2.76	     5.05	          1.24	            0.90	            1
       469	   63350100	    3.97	     18.20	     30.15	    68.97	      1.27	      18.16	     2.77	     5.46	          1.38	            0.89	            1
       470	   63900001	    3.87	     18.28	     29.81	    70.23	      1.39	      18.08	     2.75	     5.44	          1.41	            0.81	            1
       471	   63955000	    3.74	     17.92	     29.19	    70.10	      1.48	      17.96	     2.81	     5.36	          1.43	            0.70	            1
       472	   64065000	    3.98	     16.00	     26.54	    75.39	      1.58	      15.65	     2.70	     4.64	          1.17	            0.64	            1
