CABra dataset - Climate attributes
 
clim_p, clim_tmin, clim_tmax, clim_rh, clim_wind, and clim_srad are the long-term mean precipiation, minimum and maximum temperature, relative humidity, wind speed, and solar radiation in the catchment.
clim_et and clim_pet are the long-term mean actual and potential evapotranspiration in the catchment. clim_pet was calculated with Priestley & Taylor method.
aridity_index and p_seasonality are the aridity index and seasonality of precipitation in the catchment.
clim_quality is the quality of climate data based on data source: 1 = REF climatology; 2 = ENS climatology.
 
  CABra ID	     ANA ID	  clim_p	 clim_tmin	 clim_tmax	  clim_rh	 clim_wind	  clim_srad	  clim_et	 clim_pet	 aridity_index	   p_seasonality	 clim_quality
          	           	      mm	        °C	        °C	        %	     m s¯¹	     MJ m¯²	 mm day¯¹	 mm day¯¹	              	                	             
       717	   65019700	    3.89	     13.85	     23.78	    81.65	      1.35	      14.84	     2.56	     4.31	          1.11	            0.37	            1
       718	   65415000	    4.89	     13.21	     24.00	    79.11	      1.41	      15.62	     2.76	     4.50	          0.92	            0.23	            1
       719	   65855000	    5.36	     14.29	     25.38	    77.39	      1.27	      16.46	     2.71	     4.77	          0.89	            0.16	            1
       720	   66006000	    4.96	     20.37	     32.47	    75.28	      0.94	      17.71	     2.99	     5.46	          1.10	            0.82	            1
       721	   66008000	    3.72	     20.72	     32.49	    74.46	      0.98	      17.49	     2.91	     5.42	          1.46	            0.85	            1
       722	   66160000	    4.51	     20.40	     32.45	    74.48	      0.91	      17.80	     2.82	     5.48	          1.21	            0.87	            1
       723	   75155000	    5.15	     14.15	     24.85	    74.74	      1.76	      16.61	     2.37	     4.74	          0.92	            0.03	            1
       724	   75205000	    5.09	     14.06	     24.78	    75.02	      1.80	      16.55	     2.32	     4.71	          0.93	            0.01	            1
       725	   75450000	    5.14	     14.69	     25.60	    74.47	      1.78	      16.52	     2.35	     4.73	          0.92	            0.02	            1
       726	   76100000	    4.97	     14.28	     24.82	    75.52	      1.78	      16.35	     2.41	     4.66	          0.94	            0.00	            1
       727	   76300000	    4.17	     13.61	     24.12	    74.37	      1.83	      16.26	     2.20	     4.55	          1.09	            0.01	            1
       728	   76440000	    5.01	     14.33	     24.99	    75.13	      1.76	      16.37	     2.39	     4.67	          0.93	            0.01	            1
       729	   76460000	    5.07	     14.51	     25.32	    74.43	      1.81	      16.49	     2.38	     4.71	          0.93	            0.04	            1
       730	   81380000	    4.24	     14.54	     24.51	    80.91	      1.35	      15.00	     2.90	     4.37	          1.03	            0.46	            1
       731	   81683000	    4.42	     15.00	     25.01	    79.57	      1.39	      15.11	     2.94	     4.41	          1.00	            0.51	            1
       732	   84950000	    4.74	     13.03	     22.24	    80.73	      1.66	      15.43	     2.62	     4.27	          0.90	            0.29	            1
       733	   87160000	    4.69	     13.46	     22.78	    78.28	      1.57	      15.72	     2.67	     4.46	          0.95	            0.05	            1
       734	   87399000	    3.98	     15.03	     24.36	    77.96	      1.55	      15.67	     2.47	     4.44	          1.12	           -0.06	            1
       735	   87400000	    4.01	     15.03	     24.39	    77.90	      1.54	      15.67	     2.48	     4.45	          1.11	           -0.06	            1
