CABra dataset - Additional attributes
 
longitude_centroid and latitude_centroid are the XY coordinates of the catchment centroid.
dist_coast is the distance to the nearest coast.
 
  CABra ID	     ANA ID	   longitude_centroid	    latitude_centroid	 dist_coast
          	           	                   dd	                   dd	         km
       180	   45480000	              -44.934	              -17.008	     467.10
       181	   45910001	              -45.237	              -13.655	     547.92
       182	   45960001	              -45.183	              -13.641	     517.87
       183	   46035000	              -44.938	              -16.600	     468.88
       184	   46105000	              -44.934	              -16.590	     457.36
       185	   46150000	              -44.853	              -16.421	     471.94
       186	   46360000	              -44.720	              -16.174	     493.06
       187	   46550000	              -45.200	              -12.648	     660.34
       188	   46610000	              -45.385	              -12.358	     652.73
       189	   46650000	              -45.339	              -12.310	     617.72
       190	   46675000	              -45.237	              -12.274	     583.38
       191	   46790000	              -45.830	              -11.005	     709.42
       192	   46830000	              -45.631	              -11.018	     641.63
       193	   46870000	              -45.402	              -10.994	     572.91
       194	   46902000	              -45.179	              -11.776	     556.81
       195	   48020000	              -44.280	              -14.490	     399.36
       196	   48290000	              -44.143	              -14.310	     377.32
       197	   48590000	              -43.946	              -14.026	     349.52
       198	   49330000	              -43.499	              -13.605	     161.51
       199	   49370000	              -43.454	              -13.574	     129.57
       200	   49660000	              -43.312	              -13.479	      79.53
       201	   49705000	              -43.299	              -13.472	      47.77
       202	   50191000	              -38.546	              -10.171	      11.73
       203	   50250000	              -38.169	              -10.866	      58.40
       204	   50290000	              -38.063	              -11.051	       8.74
       205	   50420000	              -40.619	              -11.239	     240.03
       206	   50465000	              -40.208	              -10.890	     209.15
       207	   50520000	              -39.742	              -10.824	     152.97
       208	   50540000	              -39.677	              -10.848	     117.77
       209	   50595000	              -39.424	              -10.904	      29.23
       210	   50620000	              -38.687	              -11.677	      79.82
       211	   50660000	              -38.482	              -11.734	       8.70
       212	   50720000	              -38.898	              -12.048	      29.42
       213	   50730000	              -38.729	              -12.043	      39.06
       214	   50740000	              -38.615	              -12.128	      30.72
       215	   51120000	              -41.443	              -13.137	     253.14
       216	   51140000	              -41.678	              -12.459	     262.84
       217	   51170000	              -41.159	              -12.160	     249.44
       218	   51190000	              -41.505	              -12.385	     256.41
       219	   51230000	              -41.127	              -13.219	     223.34
       220	   51240000	              -41.391	              -12.649	     210.93
       221	   51280000	              -41.173	              -12.722	     140.15
       222	   51330000	              -40.975	              -12.594	     103.54
